time_periods,GridRef,Sp01,Sp02,Sp03,Sp04,Sp05,Sp06,Sp07,Sp08,Sp09,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,geometry
2010-2020,B94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-8.157822429817806 55.20697022056839, -8.15817789276626 55.29679122628065, -8.000754893260684 55.296893168304, -8.00075402260745 55.20707182308128, -8.157822429817806 55.20697022056839))"
2010-2020,C00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-8.000750602609978 54.8477731169564, -8.00075144830921 54.93759979544849, -7.844735007750864 54.937500179748156, -7.845080934511499 54.84767382985699, -8.000750602609978 54.8477731169564))"
2010-2020,C01,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,"POLYGON ((-8.00075144830921 54.93759979544849, -8.000752300178046 55.027425138247914, -7.8443871543875465 55.02732519248039, -7.844735007750864 54.937500179748156, -8.00075144830921 54.93759979544849))"
2010-2020,C02,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"POLYGON ((-8.000752300178046 55.027425138247914, -8.000753158262095 55.11724914692954, -7.844037359770049 55.11714886961709, -7.8443871543875465 55.02732519248039, -8.000752300178046 55.027425138247914))"
2010-2020,C03,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,"POLYGON ((-8.000753158262095 55.11724914692954, -8.00075402260745 55.20707182308128, -7.843685609095185 55.20697121273448, -7.844037359770049 55.11714886961709, -8.000753158262095 55.11724914692954))"
2010-2020,C04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-8.00075402260745 55.20707182308128, -8.000754893260684 55.296893168304, -7.843331887406126 55.29679222342173, -7.843685609095185 55.20697121273448, -8.00075402260745 55.20707182308128))"
2010-2020,C10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.845080934511499 54.84767382985699, -7.844735007750864 54.937500179748156, -7.688720493776286 54.93720035798419, -7.689413178495382 54.84737499877905, -7.845080934511499 54.84767382985699))"
2010-2020,C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"POLYGON ((-7.844735007750864 54.937500179748156, -7.8443871543875465 55.02732519248039, -7.688023949831974 55.02702437561376, -7.688720493776286 54.93720035798419, -7.844735007750864 54.937500179748156))"
2010-2020,C12,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.8443871543875465 55.02732519248039, -7.844037359770049 55.11714886961709, -7.6873235173157815 55.11684705319648, -7.688023949831974 55.02702437561376, -7.8443871543875465 55.02732519248039))"
2010-2020,C13,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,"POLYGON ((-7.844037359770049 55.11714886961709, -7.843685609095185 55.20697121273448, -7.686619166577194 55.20666839227357, -7.6873235173157815 55.11684705319648, -7.844037359770049 55.11714886961709))"
2010-2020,C14,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"POLYGON ((-7.843685609095185 55.20697121273448, -7.843331887406126 55.29679222342173, -7.685910867657967 55.29648839439878, -7.686619166577194 55.20666839227357, -7.843685609095185 55.20697121273448))"
2010-2020,C20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"POLYGON ((-7.689413178495382 54.84737499877905, -7.688720493776286 54.93720035798419, -7.532709838983089 54.936700338259485, -7.53374925261459 54.8468766317693, -7.689413178495382 54.84737499877905))"
2010-2020,C21,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"POLYGON ((-7.688720493776286 54.93720035798419, -7.688023949831974 55.02702437561376, -7.531664633803816 55.02652269580769, -7.532709838983089 54.936700338259485, -7.688720493776286 54.93720035798419))"
2010-2020,C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.688023949831974 55.02702437561376, -7.6873235173157815 55.11684705319648, -7.530613593038762 55.11634370588473, -7.531664633803816 55.02652269580769, -7.688023949831974 55.02702437561376))"
2010-2020,C23,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"POLYGON ((-7.6873235173157815 55.11684705319648, -7.686619166577194 55.20666839227357, -7.529556672194032 55.20616336997341, -7.530613593038762 55.11634370588473, -7.6873235173157815 55.11684705319648))"
2010-2020,C24,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"POLYGON ((-7.686619166577194 55.20666839227357, -7.685910867657967 55.29648839439878, -7.528493826313932 55.29598168956845, -7.529556672194032 55.20616336997341, -7.686619166577194 55.20666839227357))"
2010-2020,C30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"POLYGON ((-7.53374925261459 54.8468766317693, -7.532709838983089 54.936700338259485, -7.376704975668954 54.936000134090676, -7.378091074625932 54.846178742250544, -7.53374925261459 54.8468766317693))"
2010-2020,C31,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"POLYGON ((-7.532709838983089 54.936700338259485, -7.531664633803816 55.02652269580769, -7.37531115329173 55.02582016667343, -7.376704975668954 54.936000134090676, -7.532709838983089 54.936700338259485))"
2010-2020,C32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.531664633803816 55.02652269580769, -7.530613593038762 55.11634370588473, -7.373909548770736 55.11563884138867, -7.37531115329173 55.02582016667343, -7.531664633803816 55.02652269580769))"
2010-2020,C33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"POLYGON ((-7.530613593038762 55.11634370588473, -7.529556672194032 55.20616336997341, -7.372500102774549 55.20545615963741, -7.373909548770736 55.11563884138867, -7.530613593038762 55.11634370588473))"
2010-2020,C34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"POLYGON ((-7.529556672194032 55.20616336997341, -7.528493826313932 55.29598168956845, -7.371082755356015 55.29527212283163, -7.372500102774549 55.20545615963741, -7.529556672194032 55.20616336997341))"
2010-2020,C35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.528493826313932 55.29598168956845, -7.527425009975013 55.38579866617646, -7.369657445944273 55.38508673239446, -7.371082755356015 55.29527212283163, -7.528493826313932 55.29598168956845))"
2010-2020,C40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.378091074625932 54.846178742250544, -7.376704975668954 54.936000134090676, -7.220707835681461 54.93509976440668, -7.222440561841844 54.845281349020496, -7.378091074625932 54.846178742250544))"
2010-2020,C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.376704975668954 54.936000134090676, -7.37531115329173 55.02582016667343, -7.218965454828521 55.024916807272504, -7.220707835681461 54.93509976440668, -7.376704975668954 54.936000134090676))"
2010-2020,C42,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"POLYGON ((-7.37531115329173 55.02582016667343, -7.373909548770736 55.11563884138867, -7.217213345881694 55.114732478903704, -7.218965454828521 55.024916807272504, -7.37531115329173 55.02582016667343))"
2010-2020,C43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.373909548770736 55.11563884138867, -7.372500102774549 55.20545615963741, -7.215451434679871 55.204546780596075, -7.217213345881694 55.114732478903704, -7.373909548770736 55.11563884138867))"
2010-2020,C44,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,"POLYGON ((-7.372500102774549 55.20545615963741, -7.371082755356015 55.29527212283163, -7.213679646292398 55.29435971365534, -7.215451434679871 55.204546780596075, -7.372500102774549 55.20545615963741))"
2010-2020,C45,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"POLYGON ((-7.371082755356015 55.29527212283163, -7.369657445944273 55.38508673239446, -7.211897905009103 55.38417127939723, -7.213679646292398 55.29435971365534, -7.371082755356015 55.29527212283163))"
2010-2020,C46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.369657445944273 55.38508673239446, -7.368224113336679 55.47489998975996, -7.210106134330182 55.47398147914735, -7.211897905009103 55.38417127939723, -7.369657445944273 55.38508673239446))"
2010-2020,C50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.222440561841844 54.845281349020496, -7.220707835681461 54.93509976440668, -7.064720350268064 54.933999253547064, -7.0667996309822225 54.844184476249865, -7.222440561841844 54.845281349020496))"
2010-2020,C51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.220707835681461 54.93509976440668, -7.218965454828521 55.024916807272504, -7.062629484339123 55.02381264211489, -7.064720350268064 54.933999253547064, -7.220707835681461 54.93509976440668))"
2010-2020,C52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.218965454828521 55.024916807272504, -7.217213345881694 55.114732478903704, -7.060526945125912 55.11362464311188, -7.062629484339123 55.02381264211489, -7.218965454828521 55.024916807272504))"
2010-2020,C53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.217213345881694 55.114732478903704, -7.215451434679871 55.204546780596075, -7.05841264364745 55.20343525770528, -7.060526945125912 55.11362464311188, -7.217213345881694 55.114732478903704))"
2010-2020,C54,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"POLYGON ((-7.215451434679871 55.204546780596075, -7.213679646292398 55.29435971365534, -7.056286489999529 55.29324448707092, -7.05841264364745 55.20343525770528, -7.215451434679871 55.204546780596075))"
2010-2020,C55,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,"POLYGON ((-7.213679646292398 55.29435971365534, -7.211897905009103 55.38417127939723, -7.054148393342756 55.38305233239338, -7.056286489999529 55.29324448707092, -7.213679646292398 55.29435971365534))"
2010-2020,C60,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-7.0667996309822225 54.844184476249865, -7.064720350268064 54.933999253547064, -6.908744449926146 54.9326986312596, -6.9111701980264035 54.84288815348019, -7.0667996309822225 54.844184476249865))"
2010-2020,C61,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"POLYGON ((-7.064720350268064 54.933999253547064, -7.062629484339123 55.02381264211489, -6.90630518698876 55.022507701156705, -6.908744449926146 54.9326986312596, -7.064720350268064 54.933999253547064))"
2010-2020,C62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"POLYGON ((-7.062629484339123 55.02381264211489, -7.060526945125912 55.11362464311188, -6.903852306488175 55.11231536417966, -6.90630518698876 55.022507701156705, -7.062629484339123 55.02381264211489))"
2010-2020,C63,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"POLYGON ((-7.060526945125912 55.11362464311188, -7.05841264364745 55.20343525770528, -6.901385704635289 55.20212162134383, -6.903852306488175 55.11231536417966, -7.060526945125912 55.11362464311188))"
2010-2020,C64,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,"POLYGON ((-7.05841264364745 55.20343525770528, -7.056286489999529 55.29324448707092, -6.898905276564275 55.291926473671694, -6.901385704635289 55.20212162134383, -7.05841264364745 55.20343525770528))"
2010-2020,C70,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-6.9111701980264035 54.84288815348019, -6.908744449926146 54.9326986312596, -6.752782064253241 54.93119793269758, -6.755554178065277 54.84139241562102, -6.9111701980264035 54.84288815348019))"
2010-2020,C71,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"POLYGON ((-6.908744449926146 54.9326986312596, -6.90630518698876 55.022507701156705, -6.749994507031229 55.0210020197973, -6.752782064253241 54.93119793269758, -6.908744449926146 54.9326986312596))"
2010-2020,C72,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-6.90630518698876 55.022507701156705, -6.903852306488175 55.11231536417966, -6.74719138903008 55.11080467775488, -6.749994507031229 55.0210020197973, -6.90630518698876 55.022507701156705))"
2010-2020,C73,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"POLYGON ((-6.903852306488175 55.11231536417966, -6.901385704635289 55.20212162134383, -6.744372591666271 55.200605907410555, -6.74719138903008 55.11080467775488, -6.903852306488175 55.11231536417966))"
2010-2020,C80,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"POLYGON ((-6.755554178065277 54.84139241562102, -6.752782064253241 54.93119793269758, -6.5968351217974295 54.92949719841645, -6.599953485153557 54.83969730294663, -6.755554178065277 54.84139241562102))"
2010-2020,C81,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,"POLYGON ((-6.752782064253241 54.93119793269758, -6.749994507031229 55.0210020197973, -6.593699387657379 55.01929563887596, -6.5968351217974295 54.92949719841645, -6.752782064253241 54.93119793269758))"
2010-2020,C82,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,"POLYGON ((-6.749994507031229 55.0210020197973, -6.74719138903008 55.11080467775488, -6.590546150736563 55.109092624963466, -6.593699387657379 55.01929563887596, -6.749994507031229 55.0210020197973))"
2010-2020,C83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"POLYGON ((-6.74719138903008 55.11080467775488, -6.744372591666271 55.200605907410555, -6.587375277672702 55.198888157320795, -6.590546150736563 55.109092624963466, -6.74719138903008 55.11080467775488))"
2010-2020,C84,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"POLYGON ((-6.744372591666271 55.200605907410555, -6.741537995126277 55.29040570960979, -6.584186633720464 55.28868223659294, -6.587375277672702 55.198888157320795, -6.744372591666271 55.200605907410555))"
2010-2020,C90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-6.599953485153557 54.83969730294663, -6.5968351217974295 54.92949719841645, -6.44090554990793 54.9275964743699, -6.444370032162277 54.83780286109224, -6.599953485153557 54.83969730294663))"
2010-2020,C91,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-6.5968351217974295 54.92949719841645, -6.593699387657379 55.01929563887596, -6.437421770843781 55.017388604668035, -6.44090554990793 54.9275964743699, -6.5968351217974295 54.92949719841645))"
2010-2020,C92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-6.593699387657379 55.01929563887596, -6.590546150736563 55.109092624963466, -6.43391854836264 55.10717925240553, -6.437421770843781 55.017388604668035, -6.593699387657379 55.01929563887596))"
2010-2020,C93,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-6.590546150736563 55.109092624963466, -6.587375277672702 55.198888157320795, -6.430395734341068 55.196968418002584, -6.43391854836264 55.10717925240553, -6.590546150736563 55.109092624963466))"
2010-2020,C94,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"POLYGON ((-6.587375277672702 55.198888157320795, -6.584186633720464 55.28868223659294, -6.426853179119796 55.28675610188024, -6.430395734341068 55.196968418002584, -6.587375277672702 55.198888157320795))"
2010-2020,D00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"POLYGON ((-6.444370032162277 54.83780286109224, -6.44090554990793 54.9275964743699, -6.284995274585927 54.92549581190563, -6.288805730631509 54.835709141049705, -6.444370032162277 54.83780286109224))"
2010-2020,D01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"POLYGON ((-6.44090554990793 54.9275964743699, -6.437421770843781 55.017388604668035, -6.28116359720164 55.01528096888047, -6.284995274585927 54.92549581190563, -6.44090554990793 54.9275964743699))"
2010-2020,D02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-6.437421770843781 55.017388604668035, -6.43391854836264 55.10717925240553, -6.27731053728037 55.10506461215082, -6.28116359720164 55.01528096888047, -6.437421770843781 55.017388604668035))"
2010-2020,D03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"POLYGON ((-6.43391854836264 55.10717925240553, -6.430395734341068 55.196968418002584, -6.273435931957026 55.194846741891965, -6.27731053728037 55.10506461215082, -6.43391854836264 55.10717925240553))"
2010-2020,D04,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"POLYGON ((-6.430395734341068 55.196968418002584, -6.426853179119796 55.28675610188024, -6.269539616678262 55.28462735827772, -6.273435931957026 55.194846741891965, -6.430395734341068 55.196968418002584))"
